Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W]
10,12,2,1,16,1,10.619233,1.030994
20,6,4,4,15,1,11.277584,1.180899
30,0,0,0,1,1,10.140969,1.063738
40,4,3,3,11,1,8.768543,0.918172
50,1,0,1,3,1,8.174261,0.855048
60,0,0,0,1,1,7.453933,0.787387
70,4,3,0,8,1,7.356044,0.773158
80,0,0,0,0,0,7.240998,0.773404
90,0,0,0,1,1,6.618694,0.715105
100,7,3,1,12,1,6.509323,0.691011
110,2,1,2,6,1,6.859609,0.717259
120,5,4,1,11,1,7.238729,0.753380
130,0,0,0,1,1,7.522181,0.793093
140,4,5,1,11,1,7.487555,0.783451
150,2,1,0,4,1,7.208995,0.760443
160,3,0,0,4,1,6.897283,0.729871
170,2,0,0,3,1,6.894141,0.729312
180,6,2,1,10,1,6.797091,0.717581
190,0,0,0,0,0,6.715797,0.713248
200,1,2,2,6,1,6.492822,0.695163
210,8,2,1,12,1,6.713881,0.712438
220,1,1,1,4,1,6.713339,0.710406
230,3,0,0,4,1,6.633257,0.703388
240,5,2,2,10,1,6.728647,0.710773
250,3,0,1,5,1,6.703278,0.708592
260,3,4,0,8,1,6.594322,0.700664
270,12,5,1,19,1,6.711358,0.708946
280,17,8,5,31,1,7.569324,0.800080
290,3,1,0,5,1,7.878760,0.836938
300,5,0,1,7,1,7.782140,0.826422
310,2,1,0,4,1,7.644486,0.811017
320,1,2,1,5,1,7.508634,0.798525
330,2,1,0,4,1,7.543786,0.800209
340,6,4,1,12,1,7.601072,0.805098
350,7,5,1,14,1,7.813156,0.825666
360,2,0,0,3,1,7.694330,0.818304
370,2,1,0,4,1,7.668261,0.815538
380,10,3,3,17,1,7.686926,0.814566
390,2,1,0,4,1,7.787192,0.827522
400,3,1,0,5,1,7.671997,0.819658
410,6,2,2,11,1,7.651120,0.818408
420,3,1,1,6,1,7.583557,0.810869
430,6,7,2,16,1,7.739670,0.825207
440,1,0,0,2,1,7.874447,0.840960
450,3,0,0,4,1,7.769266,0.827888
460,0,0,0,1,1,7.668360,0.816349
470,2,0,0,3,1,7.583505,0.809872
480,4,0,1,6,1,7.488539,0.800557
490,4,6,1,12,1,7.568633,0.806224
500,8,4,2,15,1,7.628473,0.813444
510,0,1,0,2,1,7.606860,0.811102
520,1,0,0,2,1,7.543268,0.804780
530,3,2,0,6,1,7.456726,0.794864
540,8,1,3,13,1,7.505020,0.800456
550,4,4,4,13,1,7.586316,0.807993
560,4,2,0,7,1,7.596538,0.808603
570,11,3,8,23,1,7.884022,0.837163
580,2,5,0,8,1,8.025290,0.850945
590,5,3,1,10,1,7.981202,0.847841
600,8,2,0,11,1,8.084113,0.859555
610,10,2,5,18,1,8.037982,0.854657
620,8,9,0,18,1,8.175746,0.867527
630,27,8,9,45,1,8.472389,0.897076
640,31,14,7,53,1,9.101707,0.963622
650,32,15,5,53,1,9.725502,1.029908
660,29,17,8,55,1,10.426866,1.100197
670,28,14,13,56,1,11.233058,1.185781
680,22,7,8,38,1,11.691515,1.236620
690,13,5,3,22,1,12.011990,1.269844
700,3,0,0,4,1,11.989789,1.270105
710,5,4,0,10,1,11.860701,1.257256
720,1,2,0,4,1,11.846378,1.254322
730,5,8,3,17,1,11.763269,1.244339
740,7,1,2,11,1,11.825998,1.253400
750,8,1,1,11,1,11.801387,1.251207
760,2,1,1,5,1,11.770210,1.248480
770,5,3,0,9,1,11.696308,1.240688
780,7,2,2,12,1,11.608649,1.231938
790,16,7,1,25,1,11.632675,1.234029
800,4,0,0,5,1,11.676051,1.238017
810,5,0,0,6,1,11.552601,1.226102
820,16,5,2,24,1,11.617438,1.231424
830,11,3,0,15,1,11.698017,1.240495
840,2,1,0,4,1,11.708630,1.241668
850,6,6,0,13,1,11.662208,1.236328
860,6,7,1,15,1,11.616793,1.232475
870,0,0,0,1,1,11.578319,1.229931
880,3,3,2,9,1,11.507838,1.223646
890,5,0,0,6,1,11.441186,1.216130
900,3,1,0,5,1,11.369271,1.208212
910,0,0,0,1,1,11.328061,1.203706
920,3,3,1,8,1,11.258355,1.197559
930,8,2,3,14,1,11.181340,1.190049
940,8,6,1,16,1,11.257679,1.198032
950,4,1,0,6,1,11.317779,1.206180
960,2,0,0,3,1,11.241757,1.198322
970,4,0,1,6,1,11.157334,1.190869
980,7,3,3,14,1,11.246714,1.198671
990,9,3,1,14,1,11.216275,1.195919
1000,0,0,0,1,1,11.213933,1.196408
1010,3,4,0,8,1,11.234332,1.197918
1020,1,0,0,2,1,11.209980,1.195794
1030,4,0,0,5,1,11.125854,1.187526
1040,0,0,0,0,0,11.124208,1.186461
1050,2,2,0,5,1,11.039842,1.177912
1060,8,1,2,12,1,10.997367,1.172404
1070,8,8,2,19,1,11.016061,1.173672
1080,4,2,0,7,1,11.005361,1.173905
1090,1,0,0,2,1,10.959676,1.169232
1100,6,1,0,8,1,10.946061,1.166731
1110,0,0,0,0,0,10.888637,1.161817
1120,1,0,0,2,1,10.828683,1.154840
1130,1,5,0,7,1,10.776934,1.149730
1140,4,1,0,6,1,10.798328,1.151660
1150,1,0,0,2,1,10.789715,1.151036
1160,0,1,0,2,1,10.752121,1.145945
1170,1,1,0,3,1,10.689076,1.139311
1180,0,0,0,0,0,10.631454,1.134586
1190,2,0,0,3,1,10.578380,1.128386
1200,0,0,0,0,0,10.510167,1.122082
1210,4,8,1,14,1,10.493750,1.119111
1220,8,0,2,11,1,10.515257,1.119914
1230,6,2,1,10,1,10.522961,1.120336
1240,6,3,1,11,1,10.544057,1.122286
1250,11,12,1,25,1,10.569518,1.122506
1260,0,0,0,0,0,10.563704,1.122945
1270,4,2,0,7,1,10.498957,1.116443
1280,2,2,0,5,1,10.450699,1.111592
1290,3,2,0,6,1,10.423228,1.108945
1300,0,0,0,0,0,10.433803,1.110161
1310,6,5,3,15,1,10.384305,1.103369
1320,17,8,2,28,1,10.462126,1.109951
1330,25,12,2,40,1,10.601037,1.123725
1340,35,13,3,52,1,10.848981,1.148766
1350,33,19,7,60,1,11.163034,1.181876
1360,34,17,7,59,1,11.544192,1.222559
1370,35,19,7,62,1,11.928575,1.263601
1380,17,9,3,30,1,12.215975,1.295079
1390,31,9,4,45,1,12.386609,1.312201
1400,29,12,1,43,1,12.616871,1.336432
1410,25,15,4,45,1,12.852271,1.361510
1420,32,16,7,56,1,13.141198,1.391329
1430,32,10,4,47,1,13.421172,1.421019
1440,19,3,1,24,1,13.571921,1.437027
1450,14,4,1,20,1,13.630475,1.443484
1460,15,3,2,21,1,13.729166,1.453981
1470,21,9,6,37,1,13.840807,1.464688
1480,21,9,4,35,1,14.003658,1.481975
1490,40,12,2,55,1,14.186522,1.500740
1500,45,19,10,75,1,14.546920,1.536106
1510,53,28,10,92,1,15.037852,1.587802
1520,56,22,16,95,1,15.532899,1.640723
1530,56,27,14,98,1,16.071404,1.696161
1540,69,21,14,105,1,16.686984,1.760858
1550,55,22,7,85,1,17.254318,1.821067
1560,42,14,11,68,1,17.587608,1.856337
1570,44,16,11,72,1,17.895928,1.887959
1580,49,21,9,80,1,18.255857,1.925004
1590,45,15,6,67,1,18.645765,1.968708
1600,45,14,6,66,1,18.930502,1.999525
1610,48,21,5,75,1,19.289212,2.036034
1620,27,15,9,52,1,19.533755,2.064367
1630,21,6,8,36,1,19.656519,2.077694
1640,23,10,5,39,1,19.790663,2.091281
1650,24,6,8,39,1,19.943518,2.106710
1660,43,9,8,61,1,20.128922,2.124087
1670,48,15,6,70,1,20.400569,2.151769
1680,44,9,5,59,1,20.697169,2.183438
1690,28,11,10,50,1,20.869194,2.202381
1700,23,8,4,36,1,20.977413,2.213906
1710,9,6,1,17,1,20.977020,2.214378
1720,0,1,0,2,1,20.929994,2.210055
1730,11,6,1,19,1,20.876500,2.203156
1740,0,0,0,1,1,20.803647,2.197168
1750,17,4,1,23,1,20.770372,2.189648
1760,3,2,1,7,1,20.704414,2.183199
1770,10,5,3,19,1,20.633985,2.174714
1780,11,4,2,18,1,20.631003,2.172970
1790,1,0,1,3,1,20.606737,2.172964
1800,1,1,0,3,1,20.500376,2.164516
1810,3,3,0,7,1,20.399472,2.153073
1820,3,1,2,7,1,20.355798,2.148182
1830,12,7,5,25,1,20.354370,2.146764
1840,31,11,1,44,1,20.423401,2.153157
1850,14,12,8,35,1,20.573307,2.170056
1860,13,4,5,23,1,20.650129,2.178135
1870,4,0,2,7,1,20.579201,2.170753
1880,4,0,1,6,1,20.490592,2.161989
1890,7,3,2,13,1,20.427227,2.156239
1900,9,0,2,12,1,20.346220,2.148492
1910,13,2,3,19,1,20.296936,2.142542
1920,23,8,2,34,1,20.312455,2.143913
1930,23,5,4,33,1,20.387250,2.151189
1940,30,16,5,52,1,20.505523,2.160117
1950,26,10,7,44,1,20.648640,2.175185
1960,35,11,5,52,1,20.794938,2.187414
1970,36,11,6,54,1,20.968403,2.203080
1980,35,13,6,55,1,21.177778,2.224863
1990,32,17,7,57,1,21.386100,2.245349
2000,32,14,9,56,1,21.582386,2.266462
2010,26,15,4,46,1,21.739050,2.282822
2020,15,10,7,33,1,21.830598,2.294610
2030,3,4,0,8,1,21.786914,2.291458
2040,3,1,1,6,1,21.704628,2.282813
2050,3,1,0,5,1,21.622017,2.275768
2060,8,1,2,12,1,21.578499,2.271421
2070,11,8,5,25,1,21.562794,2.269306
2080,16,6,0,23,1,21.570986,2.270171
2090,7,0,2,10,1,21.548355,2.268134
2100,13,3,3,20,1,21.535492,2.265531
2110,4,2,0,7,1,21.466023,2.258342
2120,1,2,3,7,1,21.414514,2.253152
2130,0,1,0,2,1,21.345953,2.246720
2140,7,2,3,13,1,21.293829,2.242007
2150,3,3,0,7,1,21.228370,2.234893
2160,1,0,0,2,1,21.157823,2.227248
2170,17,4,1,23,1,21.115036,2.221127
2180,9,4,5,19,1,21.089581,2.218456
2190,6,4,0,11,1,21.069789,2.216701
2200,9,3,0,13,1,21.026762,2.211650
2210,2,1,0,4,1,20.957206,2.204657
2220,3,1,1,6,1,20.882741,2.197037
2230,9,1,2,13,1,20.822365,2.191207
2240,2,0,0,3,1,20.746249,2.183508
2250,2,2,1,6,1,20.682567,2.176298
2260,0,0,0,0,0,20.602120,2.168644
2270,1,2,1,5,1,20.529340,2.160282
2280,0,0,0,1,1,20.450249,2.152658
2290,6,5,2,14,1,20.404490,2.147446
2300,12,4,2,19,1,20.430909,2.149933
2310,31,10,9,51,1,20.478148,2.152358
2320,29,12,4,46,1,20.592925,2.163749
2330,11,1,1,14,1,20.624711,2.169160
2340,5,1,1,8,1,20.614682,2.168503
2350,2,2,0,5,1,20.545128,2.162064
2360,8,4,1,14,1,20.490644,2.155564
2370,0,2,1,4,1,20.430180,2.149972
2380,5,2,2,10,1,20.369772,2.143523
2390,5,2,4,12,1,20.325824,2.138336
2400,1,0,0,2,1,20.281869,2.133717
2410,3,0,0,4,1,20.235630,2.128765
2420,0,0,0,0,0,20.159964,2.122009
2430,18,6,2,27,1,20.142819,2.118645
2440,27,3,2,33,1,20.188297,2.122886
2450,27,8,7,43,1,20.283659,2.132831
2460,16,11,5,33,1,20.363662,2.141436
2470,21,5,2,29,1,20.417588,2.147847
2480,12,9,2,24,1,20.447190,2.150875
2490,11,7,4,23,1,20.466979,2.152144
2500,1,0,1,3,1,20.417117,2.149080
2510,4,5,1,11,1,20.363359,2.141984
2520,0,0,0,1,1,20.315985,2.136918
2530,5,3,0,9,1,20.276588,2.133401
2540,5,1,0,7,1,20.220366,2.128636
2550,13,6,0,20,1,20.186013,2.124142
2560,1,1,0,3,1,20.148798,2.120577
2570,13,6,3,23,1,20.115360,2.116193
2580,8,6,0,15,1,20.107804,2.114885
2590,1,0,0,2,1,20.079585,2.111495
2600,10,3,7,21,1,20.039411,2.106938
2610,18,10,7,36,1,20.065078,2.108542
2620,12,9,3,25,1,20.084490,2.110172
2630,17,4,3,25,1,20.102116,2.111364
2640,14,4,2,21,1,20.122909,2.113230
2650,13,9,5,28,1,20.129523,2.114110
2660,24,4,8,37,1,20.180962,2.119196
2670,12,6,7,26,1,20.225725,2.123999
2680,28,13,5,47,1,20.279747,2.128190
2690,20,10,2,33,1,20.329547,2.133774
2700,7,3,2,13,1,20.323963,2.134704
2710,19,5,1,26,1,20.319069,2.133215
2720,3,2,0,6,1,20.298024,2.131437
2730,2,0,2,5,1,20.231341,2.125844
2740,0,2,1,4,1,20.169807,2.119799
2750,3,4,1,9,1,20.119334,2.114102
2760,0,0,0,0,0,20.059762,2.108980
2770,10,4,3,18,1,20.007385,2.102764
2780,8,3,0,12,1,19.989449,2.101288
2790,8,1,1,11,1,19.937250,2.096285
2800,1,0,0,2,1,19.877765,2.090903
2810,15,4,1,21,1,19.836641,2.086348
2820,25,6,2,34,1,19.856323,2.087723
2830,22,5,0,28,1,19.886816,2.089618
2840,18,5,6,30,1,19.914137,2.092657
2850,26,12,4,43,1,19.968200,2.096341
2860,31,8,4,44,1,20.036662,2.103857
2870,18,10,4,33,1,20.112251,2.111271
2880,25,9,3,38,1,20.177694,2.117390
2890,29,12,6,48,1,20.251423,2.124841
2900,27,16,9,53,1,20.347305,2.135234
2910,44,12,7,64,1,20.489639,2.150115
2920,23,14,4,42,1,20.598854,2.161599
2930,22,9,3,35,1,20.644946,2.166847
2940,1,0,1,3,1,20.632227,2.167545
2950,0,0,0,0,0,20.573936,2.161743
2960,0,0,0,0,0,20.511411,2.156182
2970,1,1,0,3,1,20.458349,2.150918
2980,0,0,0,0,0,20.409895,2.146818
2990,0,0,0,1,1,20.348816,2.142131
3000,12,2,4,19,1,20.320710,2.138422
3010,14,5,1,21,1,20.292721,2.134956
3020,5,2,0,8,1,20.255497,2.131638
3030,7,2,0,10,1,20.214179,2.128104
3040,9,2,1,13,1,20.189043,2.125236
3050,0,0,0,0,0,20.143216,2.121071
3060,6,1,3,11,1,20.108647,2.116190
3070,5,3,3,12,1,20.073417,2.112484
3080,2,1,0,4,1,20.018132,2.107100
3090,3,1,0,5,1,19.973882,2.102514
3100,6,6,5,18,1,19.956662,2.099347
3110,10,3,0,14,1,19.933996,2.096896
3120,14,6,2,23,1,19.899703,2.092376
3130,16,6,3,26,1,19.903188,2.092539
3140,14,9,5,29,1,19.928489,2.095137
3150,6,1,1,9,1,19.923173,2.095356
3160,4,4,0,9,1,19.893858,2.092209
3170,11,3,1,16,1,19.856980,2.087990
3180,13,6,5,25,1,19.852371,2.086960
3190,38,7,1,47,1,19.898390,2.090911
3200,29,12,10,52,1,19.992052,2.101385
3210,27,9,5,42,1,20.051072,2.107805
