Tempo(s),Fila,E[N],E[W]
2190,74,41.948283,20.746780
2200,81,42.108702,20.836515
2210,83,42.284640,20.919869
2220,83,42.477223,21.011460
2230,71,42.639234,21.116032
2240,77,42.777562,21.166720
2250,74,42.937145,21.256012
2260,79,43.094482,21.325494
2270,73,43.235152,21.386750
2280,67,43.360231,21.482253
2290,68,43.467303,21.554813
2300,70,43.563937,21.598848
2310,61,43.662777,21.681215
2320,46,43.699040,21.723114
2330,59,43.726258,21.695524
2340,54,43.765802,21.738904
2350,54,43.821473,21.771768
2360,55,43.887811,21.796135
2370,59,43.938003,21.821682
2380,64,44.006965,21.861110
2390,60,44.090044,21.925761
2400,63,44.156462,21.954736
2410,70,44.246125,21.968101
2420,72,44.367091,22.019762
2430,75,44.487412,22.062125
2440,81,44.622554,22.107418
2450,89,44.787234,22.171898
2460,79,44.946010,22.246918
2470,70,45.078508,22.349240
2480,58,45.162304,22.436401
2490,56,45.201239,22.433942
2500,63,45.260851,22.428568
2510,73,45.360876,22.456765
2520,80,45.482071,22.495549
2530,79,45.605915,22.566588
2540,86,45.750623,22.630298
2550,86,45.915470,22.730431
2560,91,46.088571,22.825835
2570,88,46.263767,22.878176
2580,97,46.447122,22.969825
2590,104,46.660365,23.071849
2600,110,46.892816,23.170149
2610,119,47.149803,23.284955
2620,104,47.401748,23.432562
2630,100,47.609675,23.545213
2640,96,47.793855,23.641705
2650,108,48.002413,23.723684
2660,111,48.232676,23.851816
2670,108,48.457671,23.964064
2680,118,48.700318,24.036253
2690,109,48.944693,24.171328
2700,119,49.182524,24.276566
2710,124,49.454725,24.403187
2720,130,49.732855,24.537160
2730,131,50.024299,24.691075
2740,139,50.347547,24.820489
2750,133,50.672381,24.981902
2760,124,50.941874,25.142985
2770,119,51.194232,25.273217
2780,132,51.457864,25.372980
2790,128,51.741961,25.518839
2800,131,52.010137,25.638800
2810,135,52.310159,25.783467
2820,133,52.597079,25.917135
2830,133,52.876295,26.051517
2840,134,53.149341,26.182850
2850,130,53.423763,26.314850
2860,132,53.693104,26.439786
2870,136,53.978355,26.572535
2880,144,54.276785,26.693501
2890,131,54.563174,26.858725
2900,135,54.830648,27.010171
2910,141,55.116128,27.156778
2920,147,55.431385,27.308865
2930,163,55.779431,27.435577
2940,152,56.125532,27.607339
2950,141,56.429458,27.762992
2960,143,56.726553,27.868979
2970,143,57.012786,28.011245
2980,155,57.313198,28.123387
2990,157,57.641835,28.291052
3000,153,57.967943,28.480811
3010,146,58.267132,28.648165
3020,144,58.561465,28.766367
3030,147,58.854838,28.884056
3040,148,59.141556,29.017161
3050,145,59.429532,29.179020
3060,141,59.696183,29.316373
3070,140,59.964259,29.435605
3080,147,60.228590,29.576540
3090,151,60.516198,29.728943
3100,153,60.804116,29.862604
3110,159,61.113423,30.006749
3120,162,61.424019,30.179991
3130,159,61.741930,30.371246
3140,162,62.057067,30.508719
3150,163,62.383305,30.670737
3160,156,62.684799,30.830189
3170,149,62.965146,30.974474
3180,147,63.236317,31.099828
3190,149,63.517474,31.234892
