Tempo(s),E[N],E[W],ErroLittle
1560,50.385112,24.384772,0.477944
1570,50.424961,25.262747,-1.344533
1580,50.468874,25.200384,-1.254321
1590,50.549715,21.937538,5.572284
1600,50.602569,26.082326,-2.828405
1610,50.637358,24.147236,1.207105
1620,50.757324,25.588570,-1.670815
1630,50.898487,24.977944,-0.281005
1640,51.092080,25.320084,-0.995480
1650,51.317676,24.294982,1.270564
1660,51.584610,25.708823,-1.420357
1670,51.933987,24.438799,1.534191
1680,52.289112,27.144239,-3.621200
1690,52.651363,25.958128,-0.899910
1700,52.979117,24.480354,2.536153
1710,53.312286,24.887116,2.000513
1720,53.642432,26.974343,-1.998280
1730,53.970094,24.754627,2.849265
1740,54.293336,24.871980,3.023327
1750,54.589587,25.168619,2.800616
1760,54.885373,27.074879,-0.841997
1770,55.206129,26.985170,-0.470970
1780,55.583412,26.465022,0.987920
1790,55.905414,24.852987,4.700019
1800,56.166309,26.988957,0.665369
1810,56.395176,28.783854,-2.812990
1820,56.677527,25.572761,4.067504
1830,56.952053,25.551474,4.316853
1840,57.290037,28.429521,-1.418106
1850,57.651352,30.852306,-5.996186
1860,58.013802,27.310854,1.678133
1870,58.374165,28.850840,-1.175067
1880,58.712232,29.466277,-2.110792
1890,59.052452,29.534313,-1.857191
1900,59.391351,29.549421,-1.619793
1910,59.791313,27.442068,3.081130
1920,60.195889,30.580625,-3.068967
1930,60.587555,30.028342,-1.517230
1940,61.036365,28.902266,1.268317
1950,61.462379,30.925817,-2.449743
1960,61.859747,28.880979,2.189969
1970,62.277777,28.220472,4.091964
1980,62.659073,30.819249,-0.943215
1990,63.048101,29.198267,2.803661
2000,63.453774,31.087180,-0.718779
2010,63.898308,29.845187,2.286008
2020,64.392726,30.193424,1.966911
2030,64.826697,30.301208,2.286830
2040,65.211863,31.775059,-0.374764
2050,65.617822,30.289221,3.210800
2060,65.995904,32.683333,-1.406344
2070,66.407668,34.020462,-3.769575
2080,66.835237,33.243533,-1.829965
2090,67.271745,32.879469,-0.621419
2100,67.712901,31.305655,3.099455
2110,68.082548,32.101562,1.904795
2120,68.440015,32.793490,0.901379
2130,68.770574,32.148468,2.580706
2140,69.132969,35.109821,-3.116876
2150,69.459157,34.108602,-0.707807
2160,69.822376,34.232452,-0.599884
2170,70.174624,34.554072,-0.831703
2180,70.509112,34.838673,-1.044486
2190,70.837001,35.117308,-1.377438
2200,71.178314,36.167243,-3.014841
2210,71.439601,34.080124,1.584510
2220,71.713307,34.707417,0.650097
2230,71.970870,36.298800,-2.357753
2240,72.220324,34.889082,0.920422
2250,72.482713,34.825917,1.250683
2260,72.744020,37.046863,-3.042688
2270,73.001411,35.067531,1.433787
2280,73.250885,35.395409,0.920846
2290,73.532116,36.263332,-0.606888
2300,73.868801,38.216315,-4.304693
2310,74.163895,36.762418,-1.007015
2320,74.487749,36.214644,0.392840
2330,74.838355,35.222276,2.695427
2340,75.191330,35.630943,2.167088
2350,75.538364,37.581800,-1.462501
2360,75.860592,37.204159,-0.340910
2370,76.175605,36.890826,0.667421
2380,76.457071,38.281236,-1.841705
2390,76.766458,38.006069,-1.157234
2400,77.103068,37.534848,0.110532
2410,77.495463,38.887409,-2.229096
2420,77.872809,38.596652,-1.371003
2430,78.289223,38.286318,-0.423800
2440,78.769002,39.542641,-2.414958
2450,79.140608,41.117994,-5.227482
2460,79.562796,39.590478,-1.654980
2470,79.940228,36.733108,4.645328
2480,80.357527,38.057120,2.361544
2490,80.787683,39.760104,-0.869641
2500,81.239002,40.988830,-2.918734
2510,81.692185,40.194979,-0.824662
2520,82.127928,40.410314,-0.690966
2530,82.549141,41.661555,-2.761074
2540,82.945460,39.031165,3.043783
2550,83.308694,40.412736,0.520219
2560,83.724619,42.344869,-3.057269
2570,84.076328,40.180107,1.645350
2580,84.466047,41.752323,-1.244648
2590,84.828581,41.052304,0.554022
2600,85.212966,41.791903,-0.661178
2610,85.591033,39.945040,3.565987
