Tempo(s),Fila,E[N],E[W]
10,1,1.194179,0.628515
20,5,3.853976,1.976398
30,2,3.487710,1.687602
40,2,2.947420,1.531127
50,10,3.357664,1.614262
60,9,4.161792,2.116166
70,7,4.564179,2.265905
80,18,5.386749,2.520116
90,15,6.535877,3.079732
100,15,7.381855,3.465660
110,15,8.016088,3.768247
120,8,8.161970,3.997699
130,3,7.890055,3.885254
140,2,7.620640,3.717386
150,3,7.615405,3.720882
160,4,7.261219,3.596888
170,11,7.461901,3.666252
180,14,7.793257,3.770931
190,26,8.405023,4.042922
200,22,9.060030,4.366279
210,17,9.513329,4.613855
220,15,9.794266,4.767121
230,16,10.004918,4.875278
240,14,10.240519,4.975151
250,15,10.480015,5.077526
260,18,10.746279,5.164570
270,5,10.841703,5.264856
280,2,10.570158,5.094052
290,1,10.267913,4.971110
300,4,10.085033,4.856356
310,12,9.941018,4.792715
320,5,9.899665,4.836478
330,10,9.767438,4.733120
340,12,9.826104,4.779507
350,7,9.826924,4.817119
360,4,9.633479,4.712028
370,8,9.578777,4.688026
380,16,9.651914,4.696194
390,13,9.700480,4.723080
400,9,9.813341,4.792841
410,3,9.728442,4.748406
420,2,9.532875,4.639406
430,8,9.399841,4.572321
440,5,9.379077,4.575160
450,2,9.256390,4.517761
460,4,9.112441,4.454541
470,4,8.973092,4.379391
480,14,8.999767,4.363523
490,9,8.930744,4.345645
500,10,9.004733,4.392553
510,16,9.051860,4.405008
520,17,9.147786,4.429096
530,20,9.287018,4.499195
540,20,9.506990,4.604282
550,13,9.654072,4.682310
560,9,9.699931,4.715244
570,1,9.635128,4.694037
580,10,9.603388,4.641638
590,7,9.529101,4.604562
600,0,9.397278,4.565479
610,7,9.302949,4.510969
620,7,9.291695,4.511238
630,5,9.232859,4.495132
640,12,9.224188,4.465567
650,0,9.186020,4.469246
660,2,9.070646,4.392243
670,7,8.970911,4.355442
680,0,8.912355,4.338154
690,3,8.812784,4.306531
700,0,8.722848,4.263962
710,0,8.624027,4.234481
720,1,8.541744,4.203729
730,5,8.454534,4.164514
740,10,8.459286,4.159383
750,7,8.408134,4.127029
760,0,8.320317,4.108798
770,2,8.245852,4.057065
780,2,8.157387,4.021974
790,7,8.097161,4.002977
800,1,8.015971,3.965848
810,10,7.977103,3.935112
820,16,8.052526,3.953935
830,7,8.108710,3.991832
840,9,8.142613,4.006910
850,1,8.084161,3.988123
860,0,8.008537,3.962797
870,0,7.922730,3.931988
880,9,7.916630,3.927077
890,1,7.900808,3.923950
900,6,7.826745,3.891752
910,10,7.798249,3.865145
920,4,7.824654,3.866102
930,0,7.757658,3.837565
940,0,7.680969,3.812097
950,1,7.608933,3.782568
960,6,7.586786,3.765933
970,2,7.549931,3.755607
980,4,7.493825,3.727893
990,0,7.446205,3.698818
1000,1,7.387187,3.667918
1010,3,7.323086,3.636341
1020,0,7.261297,3.611176
1030,11,7.241480,3.594566
1040,9,7.269149,3.598246
1050,0,7.226394,3.574053
1060,3,7.213301,3.566278
1070,3,7.159354,3.546532
1080,5,7.154156,3.537770
1090,3,7.148408,3.538494
1100,4,7.111261,3.515680
1110,6,7.085349,3.498548
1120,8,7.082351,3.494376
1130,13,7.118332,3.507944
1140,15,7.182293,3.532275
1150,8,7.223705,3.560764
1160,8,7.213708,3.551741
1170,8,7.222982,3.561268
1180,16,7.291963,3.571821
1190,3,7.313847,3.583153
1200,11,7.306148,3.577062
1210,23,7.406564,3.618063
1220,26,7.536478,3.670460
1230,20,7.670277,3.742341
1240,19,7.758606,3.783198
1250,31,7.904085,3.851893
1260,24,8.077820,3.941926
1270,29,8.221615,4.005160
1280,24,8.356112,4.066853
1290,26,8.479781,4.120120
1300,31,8.655204,4.204695
1310,13,8.739466,4.251281
1320,19,8.822049,4.292335
1330,19,8.897255,4.340921
1340,17,8.951857,4.363583
1350,24,9.052534,4.403936
1360,18,9.144718,4.454447
1370,6,9.167565,4.472779
1380,1,9.117129,4.458412
1390,4,9.069033,4.437155
1400,2,9.036724,4.425118
1410,3,8.990697,4.398641
1420,7,8.968163,4.385259
1430,7,8.950487,4.383287
1440,2,8.914306,4.364706
1450,1,8.863556,4.347820
1460,4,8.810469,4.323793
1470,7,8.802062,4.314449
1480,2,8.769979,4.306427
1490,0,8.722423,4.287829
1500,3,8.685637,4.267427
1510,2,8.640374,4.245677
1520,1,8.594848,4.223786
1530,9,8.570110,4.209396
1540,1,8.558433,4.206827
1550,0,8.527961,4.193636
1560,1,8.479178,4.180631
1570,1,8.440203,4.159171
1580,0,8.393503,4.148181
1590,1,8.353259,4.135019
1600,0,8.307470,4.118981
1610,14,8.299550,4.100115
1620,6,8.349274,4.126243
1630,6,8.329221,4.115378
1640,1,8.293030,4.099026
1650,2,8.248030,4.083183
1660,14,8.268638,4.076608
1670,18,8.318604,4.097956
1680,18,8.386094,4.133990
1690,20,8.421261,4.154095
1700,9,8.447072,4.169577
1710,16,8.467139,4.179794
1720,11,8.498508,4.206456
1730,5,8.473388,4.201479
1740,3,8.458238,4.188200
1750,2,8.418579,4.172334
1760,0,8.376493,4.156365
1770,6,8.353095,4.139131
1780,13,8.343846,4.125568
1790,7,8.366118,4.140269
1800,2,8.332439,4.126105
1810,1,8.294378,4.109725
1820,1,8.254545,4.092420
1830,9,8.228591,4.080846
1840,9,8.221203,4.072971
1850,13,8.253851,4.087158
1860,0,8.233683,4.088268
1870,6,8.201857,4.071535
1880,1,8.181009,4.063486
1890,3,8.146311,4.046393
1900,13,8.152747,4.043388
1910,6,8.174427,4.052207
1920,2,8.151294,4.047190
1930,4,8.116343,4.036213
1940,9,8.109329,4.029738
1950,6,8.114744,4.028450
1960,16,8.131957,4.032035
1970,7,8.151554,4.050078
1980,0,8.124701,4.043969
1990,3,8.093448,4.028504
2000,3,8.072021,4.015931
2010,2,8.039986,3.999102
2020,0,8.014342,3.992348
2030,3,7.980079,3.985131
2040,5,7.969947,3.979122
2050,5,7.945192,3.961003
2060,2,7.928195,3.953542
2070,1,7.901641,3.937505
2080,13,7.905882,3.931206
2090,18,7.934161,3.943495
2100,24,8.001481,3.974246
2110,15,8.056149,4.000582
2120,20,8.101286,4.024069
2130,25,8.172687,4.055877
2140,28,8.266025,4.106150
2150,25,8.357359,4.153565
2160,23,8.427717,4.186722
2170,25,8.485958,4.213851
2180,21,8.558824,4.255014
2190,14,8.615781,4.284414
2200,9,8.640488,4.298750
2210,15,8.647735,4.298582
2220,16,8.672956,4.314130
2230,31,8.737605,4.340579
2240,41,8.856213,4.392807
2250,45,9.007621,4.464130
2260,32,9.152671,4.533210
2270,30,9.257212,4.584178
2280,34,9.358945,4.632739
2290,35,9.463989,4.684941
2300,26,9.562758,4.737097
2310,31,9.638714,4.774915
2320,36,9.744296,4.824321
2330,38,9.858921,4.879203
2340,30,9.962655,4.925547
2350,33,10.063040,4.979605
2360,31,10.167825,5.032732
