Tempo(s),E[N],E[W],ErroLittle
1780,9.272110,6.458264,-3.483093
1790,9.255560,4.751241,-0.122169
1800,9.222647,3.072781,3.155037
1810,9.197192,5.757548,-2.189687
1820,9.158407,6.003396,-2.713005
1830,9.120642,3.859137,1.490733
1840,9.082230,6.666974,-4.113091
1850,9.042041,4.749005,-0.345488
1860,9.020724,5.921341,-2.691221
1870,9.019661,5.280410,-1.433523
1880,9.022960,7.639370,-6.068078
1890,9.041794,5.069166,-0.978584
1900,9.085063,4.073922,1.046644
1910,9.131291,4.800545,-0.346154
1920,9.162526,2.499115,4.234248
1930,9.190123,4.496191,0.300576
1940,9.255733,3.931840,1.491437
1950,9.335938,3.353506,2.705255
1960,9.406467,2.082558,5.294900
1970,9.406106,4.639434,0.254412
1980,9.382409,6.416060,-3.289267
1990,9.353492,6.452404,-3.392842
2000,9.315307,5.661656,-1.865110
2010,9.305785,3.992726,1.410574
2020,9.313728,4.677383,0.067832
2030,9.306864,3.333460,2.715183
2040,9.324303,5.031778,-0.632787
2050,9.336539,5.118865,-0.795630
2060,9.334143,4.037315,1.348254
2070,9.315702,3.440463,2.509643
2080,9.282390,4.195227,0.987246
2090,9.267924,7.515760,-5.596716
2100,9.298416,5.207632,-1.001450
2110,9.345528,4.128574,1.165349
2120,9.393295,4.554364,0.362453
2130,9.449277,4.117122,1.291633
2140,9.491574,3.681749,2.197406
2150,9.505841,5.076303,-0.544458
2160,9.524178,5.022979,-0.421213
2170,9.540627,5.068079,-0.513482
2180,9.547978,5.153240,-0.670027
2190,9.517154,5.155511,-0.711321
2200,9.486227,4.094298,1.365646
2210,9.445688,5.867034,-2.171624
2220,9.415564,4.472911,0.564771
2230,9.402061,2.465712,4.523066
2240,9.402528,4.491063,0.509485
2250,9.424978,4.115680,1.272110
2260,9.447741,4.681579,0.169836
2270,9.508334,6.139208,-2.676002
2280,9.577181,4.962350,-0.268678
2290,9.625685,4.726665,0.238510
2300,9.681072,6.360428,-2.956673
2310,9.697973,4.420146,0.927744
2320,9.717795,5.792955,-1.795455
2330,9.781637,4.181389,1.466130
2340,9.866154,6.117679,-2.286115
2350,9.943176,6.886988,-3.733975
2360,10.019946,5.744582,-1.378768
2370,10.097394,5.738109,-1.301938
2380,10.217638,5.228902,-0.178519
2390,10.360957,3.725107,2.961014
2400,10.451465,5.957578,-1.371025
2410,10.510508,4.894824,0.796770
2420,10.568573,3.816544,2.992358
2430,10.622369,5.255721,0.191207
2440,10.669536,6.087128,-1.408658
2450,10.727941,5.743105,-0.676129
2460,10.768635,5.183787,0.472850
2470,10.774311,7.301271,-3.712238
2480,10.771394,6.480295,-2.087270
2490,10.766273,6.474705,-2.074630
2500,10.761049,4.480835,1.878458
2510,10.751034,4.715438,1.389854
2520,10.761361,6.435422,-2.022345
2530,10.806609,7.458898,-4.011878
2540,10.859813,5.899919,-0.856376
2550,10.899096,5.676494,-0.375574
2560,10.914998,6.239087,-1.476272
2570,10.902569,7.753488,-4.474019
2580,10.902310,3.700820,3.560172
2590,10.908882,4.292221,2.399463
2600,10.891451,4.433091,2.107670
2610,10.877805,6.201223,-1.430649
2620,10.866175,7.059971,-3.122132
2630,10.842553,6.121916,-1.290008
2640,10.845485,5.879211,-0.812321
2650,10.853230,3.464649,3.985731
2660,10.872824,4.696718,1.564594
2670,10.888570,5.029837,0.923658
2680,10.895164,6.364785,-1.721604
2690,10.906585,3.562008,3.846326
2700,10.924215,6.787487,-2.529220
2710,10.968828,5.904335,-0.732492
2720,11.015954,5.301847,0.500073
2730,11.066905,6.088203,-1.014631
2740,11.107319,4.049406,3.078076
2750,11.144670,6.058456,-0.870578
2760,11.186691,5.290933,0.693341
2770,11.262589,4.641168,2.052219
2780,11.324226,5.951334,-0.484180
2790,11.402013,6.194062,-0.883481
2800,11.469986,5.991166,-0.411771
2810,11.562451,4.563613,2.508478
2820,11.622665,5.659125,0.411107
2830,11.684888,6.219576,-0.641066
2840,11.764129,6.890341,-1.886526
2850,11.853591,6.067847,-0.184093
2860,11.987085,6.260946,-0.435874
2870,12.150245,6.819651,-1.415076
2880,12.332064,5.792455,0.830212
2890,12.489494,6.117624,0.341426
2900,12.640872,6.895937,-1.054807
2910,12.803418,7.973796,-3.048047
2920,12.998725,6.728287,-0.367923
2930,13.183925,5.936596,1.403665
2940,13.354774,6.907090,-0.339356
2950,13.531708,9.455145,-5.203897
2960,13.722339,7.273500,-0.696187
2970,13.918071,5.594903,2.826562
2980,14.117685,6.368023,1.481620
2990,14.315557,6.076875,2.245644
3000,14.526085,8.068875,-1.488466
3010,14.713084,6.684368,1.446649
3020,14.914258,8.647420,-2.260082
3030,15.156205,8.436257,-1.604591
3040,15.423245,6.501139,2.500941
3050,15.671253,7.184896,1.405144
3060,15.924001,8.635231,-1.241717
3070,16.172594,5.783397,4.675298
3080,16.420546,7.290107,1.929770
3090,16.657766,9.739400,-2.683168
3100,16.886247,8.562175,-0.113617
3110,17.119844,8.427647,0.381367
3120,17.364524,8.957589,-0.418009
3130,17.599881,8.118852,1.498005
3140,17.825706,9.603946,-1.223954
3150,18.054900,7.645565,2.914802
3160,18.236784,10.646942,-2.846826
3170,18.435810,9.676144,-0.732692
3180,18.663754,10.434897,-2.028357
3190,18.898194,9.493187,0.063728
3200,19.127750,10.734023,-2.180052
3210,19.388584,11.168254,-2.785249
3220,19.609797,10.238198,-0.722288
3230,19.867881,9.907136,0.173395
3240,20.115399,10.210413,-0.191557
3250,20.363203,11.199003,-1.923786
3260,20.628819,9.889382,0.962105
3270,20.863917,8.990115,2.979931
3280,21.122097,9.749595,1.740325
3290,21.342661,9.892222,1.693829
3300,21.579495,11.083879,-0.442807
3310,21.806459,11.504671,-1.036088
3320,22.020648,11.417172,-0.658292
3330,22.263897,11.035313,0.329327
3340,22.531572,10.567701,1.503641
3350,22.822181,12.896864,-2.825956
3360,23.087395,10.844300,1.504842
3370,23.386734,13.067983,-2.627249
3380,23.633926,11.416678,0.914963
3390,23.916693,13.213426,-2.394308
3400,24.172370,11.848009,0.584948
3410,24.449054,12.124195,0.282771
3420,24.730207,12.965693,-1.112147
3430,25.013564,14.062193,-3.008319
3440,25.269249,12.771673,-0.177414
3450,25.526729,12.102984,1.406548
3460,25.776995,13.406418,-0.964809
3470,26.069325,11.399572,3.310907
3480,26.365683,11.954693,2.477938
3490,26.633416,15.793356,-4.926382
3500,26.910877,13.685975,-0.429319
3510,27.175267,13.059101,1.089202
3520,27.436046,13.240608,0.980077
3530,27.686164,15.569661,-3.390385
3540,27.894526,14.824456,-1.708278
3550,28.126821,14.666314,-1.139432
3560,28.353983,13.921131,0.552941
3570,28.612608,16.038200,-3.412219
3580,28.864926,14.408256,0.072780
3590,29.160176,13.331656,2.514530
3600,29.430025,13.253738,2.944992
3610,29.716587,16.107775,-2.469134
3620,30.016348,15.562287,-1.095191
3630,30.369913,15.690063,-1.041166
3640,30.715976,16.146447,-1.646851
3650,31.059742,15.124801,0.776059
3660,31.372050,16.363848,-1.393696
3670,31.690448,15.711889,0.250455
3680,31.994981,16.719288,-1.456851
3690,32.301700,15.822191,0.640717
3700,32.578979,16.801039,-1.040050
3710,32.868095,18.273339,-3.739785
3720,33.172843,17.302343,-1.516133
3730,33.469528,16.353655,0.653068
3740,33.794120,16.060175,1.572121
3750,34.092489,16.697941,0.618845
3760,34.373821,16.925941,0.464073
3770,34.658568,18.409262,-2.207677
3780,34.915299,18.327806,-1.790460
3790,35.197330,14.272173,6.626458
3800,35.421051,18.505463,-1.597144
3810,35.639865,17.254721,1.109853
3820,35.880397,18.482898,-1.124168
3830,36.123350,18.726049,-1.333059
3840,36.379104,16.242343,3.897709
3850,36.590895,17.642642,1.305659
3860,36.838402,18.060258,0.738794
3870,37.049533,18.407681,0.292376
3880,37.276507,20.701721,-4.127155
3890,37.501854,18.063808,1.357149
3900,37.703968,18.447472,0.830862
3910,37.879425,18.305342,1.269799
3920,38.021957,18.807430,0.451681
3930,38.134546,18.394193,1.395692
3940,38.246306,20.366566,-2.402603
3950,38.312889,19.023701,0.371858
3960,38.368025,19.609245,-0.721299
3970,38.425386,20.565724,-2.550474
3980,38.472937,19.976744,-1.332912
3990,38.532689,19.552068,-0.471275
4000,38.613737,17.689954,3.327915
4010,38.696441,21.920231,-5.054387
4020,38.780569,20.054316,-1.267706
4030,38.891685,19.203111,0.520380
4040,38.995889,19.742719,-0.459816
4050,39.102175,20.347261,-1.564318
4060,39.200618,19.764329,-0.293235
4070,39.305139,19.703685,-0.077953
4080,39.398366,19.885406,-0.333345
4090,39.475009,19.086868,1.353234
4100,39.541175,21.591309,-3.588164
4110,39.618016,20.322837,-0.967296
4120,39.693449,20.368973,-1.017231
4130,39.761361,19.330189,1.141126
4140,39.829321,20.994007,-2.137539
4150,39.897763,19.091773,1.760558
4160,39.955966,20.485482,-0.985313
4170,40.016848,20.146324,-0.250963
4180,40.072823,19.126484,1.870531
4190,40.112690,21.689039,-3.194388
4200,40.157348,20.562232,-0.890577
4210,40.213901,24.128022,-7.959518
4220,40.277113,19.167729,2.009804
4230,40.345969,20.656467,-0.901008
4240,40.420031,19.442127,1.623525
4250,40.484050,19.421599,1.705355
4260,40.538988,20.339405,-0.072880
4270,40.590556,20.663372,-0.701780
4280,40.656157,20.793255,-0.893177
4290,40.720489,20.097771,0.536745
4300,40.802156,19.477857,1.885324
4310,40.874526,20.666110,-0.419302
4320,40.966650,21.407568,-1.834360
4330,41.053677,19.514605,2.054160
4340,41.130317,20.169851,0.844790
4350,41.175407,20.860625,-0.449596
4360,41.226019,19.527584,2.278188
4370,41.263998,20.497172,0.374292
4380,41.307117,21.075220,-0.711325
4390,41.347104,21.570701,-1.648812
4400,41.405123,20.429598,0.645109
4410,41.446773,19.607382,2.336525
4420,41.500859,20.561653,0.476100
4430,41.561520,20.119013,1.434064
4440,41.629810,19.915625,1.920202
4450,41.703606,20.529551,0.753478
4460,41.781494,20.191649,1.512041
4470,41.845672,20.246168,1.517473
4480,41.883136,21.818191,-1.536402
4490,41.924346,20.499641,1.115419
4500,41.966482,19.458587,3.211685
4510,42.020539,20.128558,1.934845
4520,42.070007,20.741341,0.770920
4530,42.116127,20.835326,0.616630
4540,42.160054,20.995332,0.345342
4550,42.198974,21.549833,-0.753385
4560,42.242483,20.011607,2.368796
4570,42.278077,21.551770,-0.649086
4580,42.313524,20.792251,0.880022
4590,42.342813,20.849440,0.777385
4600,42.379239,21.193325,0.126366
4610,42.398982,20.997574,0.537307
4620,42.429527,20.102953,2.337527
4630,42.473909,21.832905,-1.081771
4640,42.534452,22.774983,-2.909445
4650,42.611993,21.534331,-0.377185
4660,42.707711,22.882432,-2.966015
4670,42.818321,20.472933,1.940181
4680,42.927056,20.801350,1.401939
4690,43.029587,20.866466,1.385543
4700,43.124245,21.217372,0.746988
4710,43.222595,22.153592,-1.046712
4720,43.344357,22.428141,-1.460659
4730,43.450740,21.714917,0.085273
4740,43.561001,23.270512,-2.921945
4750,43.671071,21.106900,1.525241
