Tempo(s),Fila,E[N],E[W]
10,6,6.617523,3.007965
20,13,6.431104,2.858268
30,8,7.475894,3.347415
40,8,7.475409,3.397913
50,6,7.003235,3.183289
60,7,7.275958,3.384166
70,0,7.329240,3.466533
80,0,6.517576,3.279283
90,1,5.873987,3.128159
100,3,5.507555,3.009593
110,4,5.536164,2.899895
120,0,5.240186,2.845350
130,2,4.908214,2.703677
140,13,5.129069,2.740724
150,16,5.886279,3.108950
160,0,5.877241,3.155566
170,5,5.766500,3.053910
180,6,5.774329,3.066015
190,9,5.655361,2.943887
200,6,5.644944,2.986743
210,3,5.656907,3.022775
220,5,5.515433,2.959501
230,4,5.493515,2.924788
240,4,5.418618,2.851904
250,0,5.267989,2.790249
260,4,5.132913,2.740364
270,10,5.132160,2.722364
280,12,5.312136,2.795861
290,19,5.656989,2.950588
300,24,6.211010,3.240527
310,15,6.584577,3.459693
320,16,6.898949,3.643009
330,15,7.170716,3.798292
340,10,7.297172,3.852544
350,9,7.254788,3.812576
360,21,7.569475,3.926529
370,28,8.103492,4.205178
380,5,8.376599,4.402638
390,1,8.273978,4.354725
400,4,8.092495,4.276087
410,3,8.038961,4.258364
420,10,8.055481,4.277246
430,22,8.323990,4.365019
440,33,8.813913,4.546450
450,30,9.314628,4.801355
460,31,9.810063,5.042044
470,18,10.137940,5.224596
480,13,10.328495,5.325110
490,21,10.412401,5.342488
500,16,10.590475,5.431013
510,6,10.580981,5.434341
520,1,10.496848,5.409674
530,2,10.338988,5.320062
540,4,10.205551,5.238591
550,9,10.096854,5.127673
560,4,10.057006,5.101380
570,0,9.938344,5.053395
580,0,9.838233,5.014213
590,3,9.709039,4.946747
600,11,9.709318,4.928588
610,9,9.723143,4.930272
620,18,9.783688,4.919616
630,18,9.930078,4.953246
640,18,10.052953,5.026477
650,10,10.152531,5.084087
660,4,10.076326,5.053477
670,2,9.955097,5.003687
680,2,9.824519,4.963353
690,5,9.727314,4.899158
700,2,9.607564,4.859317
710,4,9.489554,4.816000
720,13,9.507235,4.807029
730,25,9.613629,4.843305
740,15,9.771990,4.936022
750,18,9.851705,4.982319
760,25,9.964290,5.018463
770,28,10.169511,5.107974
780,14,10.286994,5.186720
790,8,10.288267,5.196759
800,4,10.255495,5.186091
810,1,10.164797,5.155595
820,12,10.101634,5.100579
830,15,10.154569,5.120469
840,3,10.100407,5.114130
850,0,9.995429,5.081408
860,0,9.885241,5.036319
870,8,9.794833,4.977514
880,10,9.815572,4.992892
890,11,9.821772,4.992220
900,11,9.812038,4.961143
910,12,9.876714,4.998782
920,12,9.908310,5.025162
930,17,9.945160,5.040327
940,25,10.058588,5.069744
950,20,10.175912,5.136618
960,11,10.251859,5.177162
970,0,10.223805,5.189477
980,5,10.153505,5.150329
990,4,10.104415,5.127304
1000,5,10.032241,5.087343
1010,1,9.959226,5.064863
1020,0,9.873124,5.025243
1030,0,9.793941,4.993940
1040,5,9.720534,4.972629
1050,10,9.714084,4.965817
1060,8,9.695155,4.964669
1070,12,9.685875,4.958797
1080,21,9.733326,4.967860
1090,13,9.813171,5.017053
1100,8,9.816809,5.031915
1110,9,9.815510,5.025469
1120,15,9.829748,5.027086
1130,12,9.853487,5.042772
1140,9,9.870704,5.043748
1150,6,9.811910,5.014976
1160,1,9.762547,4.999803
1170,4,9.696237,4.971340
1180,7,9.651866,4.943230
1190,6,9.629389,4.926472
1200,1,9.599503,4.918618
1210,3,9.556422,4.891400
1220,8,9.527971,4.869763
1230,0,9.481778,4.855365
1240,3,9.414912,4.834158
1250,1,9.377062,4.821607
1260,0,9.319867,4.795031
1270,5,9.267562,4.765103
1280,3,9.220708,4.745680
1290,3,9.163422,4.730218
1300,4,9.122893,4.704388
1310,3,9.061612,4.675349
1320,1,9.022399,4.653992
1330,3,8.970324,4.627824
1340,3,8.922829,4.596921
1350,3,8.871833,4.578354
1360,2,8.831983,4.553259
1370,10,8.813107,4.532266
1380,8,8.802089,4.532419
1390,5,8.796656,4.526972
1400,1,8.757083,4.505666
1410,9,8.729304,4.488811
1420,9,8.734448,4.493810
1430,9,8.744321,4.481856
1440,12,8.753059,4.483958
1450,8,8.757514,4.477572
1460,4,8.759196,4.479308
1470,2,8.712781,4.461090
1480,18,8.709182,4.449289
1490,20,8.780457,4.481974
1500,18,8.860582,4.525323
1510,18,8.932855,4.566219
1520,14,8.980377,4.580595
1530,18,9.026145,4.598735
1540,16,9.060799,4.617350
1550,29,9.154961,4.661692
1560,28,9.306728,4.741507
1570,36,9.440746,4.804529
1580,31,9.610400,4.893468
1590,35,9.766945,4.975791
1600,33,9.922544,5.057684
1610,34,10.064133,5.134111
1620,28,10.192983,5.212321
1630,19,10.263505,5.257547
1640,16,10.293253,5.278591
1650,15,10.309776,5.286243
1660,10,10.322856,5.293772
1670,10,10.316561,5.289732
1680,20,10.339494,5.289388
1690,20,10.427939,5.327454
1700,19,10.478344,5.350912
1710,14,10.517423,5.373407
1720,24,10.585319,5.397791
1730,37,10.700710,5.439973
1740,47,10.872889,5.514085
1750,51,11.079779,5.608798
1760,52,11.302491,5.721134
1770,62,11.567341,5.841424
1780,62,11.848991,5.991819
1790,55,12.111192,6.144851
1800,58,12.362116,6.262823
1810,55,12.594863,6.385631
1820,53,12.817207,6.510555
1830,55,13.026936,6.612841
1840,52,13.233100,6.715086
1850,42,13.410964,6.814140
1860,45,13.567602,6.898781
1870,44,13.736643,6.972726
1880,36,13.871730,7.057876
1890,44,14.000648,7.109410
1900,37,14.140834,7.178089
1910,40,14.266846,7.229949
1920,45,14.433166,7.306005
1930,43,14.586509,7.377349
1940,51,14.742130,7.434295
1950,47,14.921817,7.520688
1960,61,15.134009,7.613619
1970,57,15.354988,7.718634
1980,54,15.573661,7.826358
1990,51,15.749394,7.920469
2000,53,15.923601,8.003820
2010,50,16.112420,8.106624
2020,53,16.294157,8.199850
2030,50,16.476841,8.293575
2040,37,16.619245,8.375311
2050,42,16.739967,8.433751
2060,36,16.838819,8.481166
2070,45,16.932355,8.511407
2080,43,17.066476,8.584830
2090,40,17.186362,8.642805
2100,39,17.300178,8.706056
2110,35,17.393910,8.757134
2120,25,17.444919,8.792969
2130,35,17.495907,8.818335
2140,26,17.565957,8.863746
2150,29,17.603998,8.878394
2160,28,17.657342,8.902861
2170,36,17.726982,8.931403
2180,41,17.829885,8.972564
2190,47,17.950183,9.026613
2200,43,18.075208,9.089247
2210,41,18.176044,9.137638
2220,36,18.269248,9.192595
2230,35,18.344512,9.242716
2240,30,18.408315,9.274544
2250,34,18.485156,9.310858
2260,35,18.557456,9.344887
2270,46,18.641807,9.370439
2280,57,18.798785,9.430414
2290,51,18.953275,9.516115
2300,59,19.105086,9.579616
2310,61,19.283703,9.664863
2320,58,19.456102,9.751168
2330,50,19.621682,9.836170
2340,46,19.753392,9.891491
2350,32,19.835682,9.947472
2360,33,19.892812,9.971758
2370,27,19.941149,9.995880
2380,22,19.969070,10.022435
2390,13,19.967395,10.025646
2400,10,19.932068,10.020311
2410,16,19.891974,9.993675
2420,19,19.879616,9.981052
2430,11,19.867477,9.987168
2440,15,19.827422,9.950413
2450,10,19.800260,9.942742
2460,3,19.750286,9.923551
2470,5,19.689837,9.886948
2480,12,19.650350,9.858966
2490,8,19.615563,9.845344
2500,9,19.572884,9.823772
2510,6,19.527860,9.801026
2520,4,19.461407,9.779212
2530,3,19.390235,9.752941
2540,15,19.346710,9.715429
2550,24,19.348814,9.712495
2560,25,19.366364,9.728786
2570,19,19.385077,9.745628
2580,22,19.388753,9.737781
2590,26,19.410071,9.744540
2600,26,19.455330,9.757689
2610,21,19.471907,9.767764
2620,7,19.434628,9.763898
2630,4,19.373825,9.731314
2640,0,19.324744,9.700956
2650,0,19.254407,9.678334
2660,5,19.187521,9.639057
2670,0,19.142197,9.616118
2680,1,19.081758,9.589183
2690,4,19.019629,9.547080
2700,7,18.982501,9.519456
2710,4,18.944057,9.505350
2720,7,18.898347,9.468319
2730,2,18.839145,9.452466
2740,8,18.778925,9.425582
2750,12,18.754390,9.416573
2760,18,18.736611,9.407504
2770,10,18.715880,9.396953
2780,6,18.669824,9.371995
2790,8,18.627096,9.347050
2800,10,18.593666,9.321802
2810,11,18.557461,9.298585
2820,9,18.537101,9.285013
2830,8,18.502128,9.272361
2840,3,18.444924,9.248514
2850,4,18.396266,9.222402
2860,5,18.348029,9.206204
2870,6,18.304632,9.176296
2880,15,18.281567,9.155088
2890,12,18.271263,9.149879
2900,6,18.240861,9.128300
2910,4,18.203887,9.116041
2920,2,18.158469,9.090130
2930,1,18.102302,9.066623
2940,1,18.049563,9.034000
2950,1,17.990539,9.016665
2960,0,17.932780,8.998310
2970,8,17.884014,8.966158
2980,1,17.842747,8.951412
2990,3,17.787303,8.926492
3000,2,17.739314,8.905278
3010,1,17.684896,8.883768
3020,11,17.641519,8.858894
3030,2,17.600488,8.848429
3040,11,17.560879,8.821063
3050,3,17.517667,8.803573
3060,8,17.472333,8.780644
3070,7,17.438037,8.763263
3080,16,17.426559,8.754494
3090,16,17.429829,8.761700
3100,14,17.417975,8.758430
3110,8,17.396891,8.756163
3120,12,17.369439,8.742160
3130,9,17.359241,8.735438
3140,11,17.330078,8.730378
3150,14,17.302902,8.715085
3160,5,17.282671,8.710246
3170,8,17.256502,8.695456
3180,4,17.216561,8.676492
3190,3,17.169338,8.653845
3200,3,17.123955,8.629395
3210,11,17.085745,8.600477
3220,13,17.068315,8.588838
3230,10,17.048233,8.579899
3240,15,17.038028,8.571927
3250,14,17.016635,8.563652
3260,7,16.999383,8.544247
3270,0,16.951276,8.530421
3280,0,16.900983,8.514088
3290,2,16.852181,8.495813
3300,1,16.809033,8.482919
3310,4,16.765367,8.464516
3320,4,16.721273,8.444574
3330,8,16.695672,8.432669
3340,8,16.672506,8.421986
3350,9,16.640795,8.400642
3360,16,16.629997,8.387389
3370,12,16.622713,8.379737
3380,7,16.609572,8.377907
3390,4,16.569229,8.357340
3400,5,16.537965,8.343832
3410,12,16.515585,8.331086
3420,19,16.513582,8.332318
3430,15,16.517412,8.337708
3440,15,16.508478,8.332966
3450,25,16.524182,8.326045
3460,32,16.563285,8.341916
3470,19,16.593874,8.365646
3480,26,16.612989,8.372658
3490,28,16.641140,8.389077
3500,24,16.667357,8.404517
3510,19,16.680708,8.407422
3520,11,16.674568,8.406542
3530,11,16.652848,8.394196
3540,13,16.635930,8.378317
3550,20,16.638570,8.378287
3560,16,16.642994,8.388653
3570,17,16.648813,8.386661
3580,27,16.662186,8.388500
3590,27,16.695570,8.401611
3600,25,16.721172,8.414344
3610,28,16.736914,8.419769
3620,22,16.765240,8.438566
3630,10,16.757280,8.437914
3640,3,16.729923,8.421646
3650,1,16.698638,8.405741
3660,7,16.668170,8.384483
3670,11,16.639651,8.364268
3680,15,16.625074,8.356819
3690,13,16.621339,8.351408
3700,16,16.614488,8.344456
3710,21,16.613814,8.340629
3720,20,16.624710,8.346008
3730,24,16.638756,8.346229
3740,15,16.649736,8.353906
3750,7,16.636143,8.352596
3760,8,16.615936,8.334568
3770,8,16.586159,8.321775
3780,0,16.550552,8.312661
3790,5,16.512043,8.282245
3800,1,16.479162,8.263502
3810,0,16.438446,8.245192
3820,2,16.400083,8.223722
3830,0,16.363179,8.209455
3840,0,16.323366,8.195832
3850,1,16.288887,8.174168
3860,5,16.255212,8.158252
3870,0,16.226405,8.146885
3880,4,16.196273,8.131669
3890,2,16.163442,8.113005
3900,2,16.130093,8.096186
3910,1,16.098286,8.083254
3920,7,16.075848,8.065701
3930,8,16.054499,8.052863
3940,5,16.027988,8.040523
3950,7,15.999329,8.022004
3960,2,15.967258,8.006881
3970,0,15.928513,7.990422
3980,8,15.906071,7.974073
3990,3,15.886944,7.966433
4000,9,15.860274,7.951008
4010,2,15.837841,7.938718
4020,0,15.800563,7.928880
4030,2,15.766075,7.912488
4040,5,15.738663,7.896696
4050,7,15.719115,7.886821
4060,13,15.705964,7.874317
4070,7,15.682466,7.869269
4080,2,15.655836,7.863574
4090,4,15.628306,7.849659
4100,1,15.597135,7.833916
4110,2,15.570104,7.818342
4120,6,15.539796,7.800190
4130,6,15.515643,7.789887
4140,5,15.485228,7.773596
4150,11,15.463828,7.761839
4160,14,15.458059,7.759808
4170,5,15.441663,7.750570
4180,9,15.419108,7.734534
4190,5,15.394088,7.723773
4200,8,15.368363,7.710802
4210,3,15.343386,7.699125
4220,3,15.314988,7.681156
4230,5,15.290420,7.665143
4240,3,15.259351,7.652235
4250,6,15.233353,7.638243
4260,3,15.207042,7.626795
4270,13,15.186057,7.610852
4280,11,15.178179,7.607753
4290,15,15.178093,7.606778
4300,8,15.178487,7.611370
4310,2,15.150538,7.597303
4320,8,15.127957,7.584168
4330,5,15.108981,7.576362
4340,4,15.077999,7.561650
4350,5,15.052349,7.546994
4360,7,15.022848,7.530423
4370,10,15.002359,7.514076
4380,14,14.986713,7.501063
4390,22,14.983085,7.492396
4400,17,14.995018,7.497509
4410,15,14.990037,7.495868
4420,24,15.003934,7.500270
4430,25,15.029350,7.517220
4440,34,15.066167,7.530540
4450,46,15.112256,7.544260
4460,43,15.168734,7.573330
4470,37,15.225949,7.605318
4480,33,15.268319,7.627349
4490,24,15.294921,7.642354
4500,24,15.313246,7.649823
4510,12,15.311829,7.657613
4520,8,15.304926,7.655003
4530,13,15.298372,7.649186
4540,12,15.299830,7.652443
4550,18,15.288066,7.636480
4560,23,15.300187,7.635025
4570,28,15.317950,7.643087
4580,45,15.364830,7.658170
4590,42,15.426885,7.695002
4600,50,15.493996,7.720982
4610,54,15.563704,7.749911
4620,64,15.659249,7.797557
4630,53,15.753300,7.841929
4640,59,15.836620,7.878408
4650,57,15.925449,7.923533
4660,55,16.009492,7.962031
4670,48,16.085524,8.004198
4680,45,16.149266,8.035999
4690,42,16.211901,8.066392
4700,34,16.264201,8.094213
4710,31,16.303202,8.117991
4720,26,16.328622,8.130720
4730,34,16.348815,8.135707
4740,42,16.396917,8.157157
4750,43,16.457749,8.188364
4760,32,16.502374,8.214944
4770,35,16.541717,8.231169
4780,49,16.596267,8.252383
4790,49,16.657115,8.284455
4800,43,16.718769,8.315210
4810,55,16.784030,8.341722
4820,57,16.859710,8.381168
4830,50,16.929262,8.416710
4840,59,17.007655,8.454915
4850,65,17.105770,8.504663
4860,69,17.214733,8.558061
4870,64,17.309666,8.607993
4880,66,17.409853,8.656147
4890,60,17.499852,8.700109
4900,62,17.586270,8.742287
4910,69,17.682964,8.786900
4920,69,17.782201,8.837215
4930,69,17.886530,8.889172
4940,64,17.978620,8.938646
4950,61,18.060793,8.983212
4960,59,18.142057,9.025537
4970,51,18.215042,9.061938
4980,51,18.280774,9.096548
4990,51,18.347308,9.128833
5000,61,18.425862,9.162537
5010,65,18.516130,9.207525
5020,67,18.612697,9.257479
5030,71,18.717229,9.308648
5040,71,18.819152,9.364056
5050,67,18.919424,9.417752
5060,57,19.006273,9.463860
5070,56,19.075998,9.497723
5080,45,19.138585,9.530832
5090,49,19.189329,9.556177
5100,44,19.237108,9.584726
5110,40,19.281986,9.609963
5120,46,19.335767,9.634952
5130,49,19.392570,9.659568
5140,49,19.455315,9.689954
5150,51,19.515138,9.720762
5160,47,19.575783,9.755750
5170,37,19.613424,9.781171
5180,40,19.649931,9.801314
5190,31,19.680155,9.818322
5200,30,19.704845,9.830681
5210,22,19.712498,9.835483
5220,22,19.716377,9.836518
5230,18,19.721829,9.841157
5240,10,19.706303,9.840944
5250,12,19.693402,9.832654
5260,16,19.677163,9.819913
5270,4,19.659040,9.808117
5280,4,19.625418,9.796937
5290,6,19.594407,9.779641
5300,2,19.565296,9.762386
5310,0,19.530826,9.749806
5320,2,19.494860,9.735535
5330,3,19.461223,9.719670
5340,0,19.431935,9.708695
5350,4,19.400979,9.691432
5360,1,19.366469,9.682331
5370,7,19.333645,9.667723
5380,15,19.315170,9.655790
5390,5,19.294878,9.645650
5400,2,19.261880,9.634508
5410,1,19.229676,9.621062
5420,1,19.195603,9.607551
5430,2,19.164446,9.591938
5440,12,19.142992,9.576777
5450,16,19.141655,9.576978
5460,11,19.132466,9.575001
5470,13,19.117903,9.564197
5480,9,19.104066,9.559883
5490,3,19.074722,9.547796
5500,0,19.042027,9.533147
5510,0,19.009281,9.516731
5520,4,18.978370,9.499511
5530,4,18.947721,9.490164
5540,6,18.923714,9.482396
5550,0,18.892104,9.471651
5560,6,18.863224,9.454568
5570,1,18.838323,9.447997
5580,0,18.807713,9.437683
5590,0,18.775965,9.428462
5600,3,18.745627,9.414000
5610,9,18.728183,9.400117
5620,5,18.704850,9.393375
5630,3,18.684281,9.382136
5640,0,18.657422,9.367743
5650,6,18.630948,9.356045
5660,10,18.608414,9.342170
5670,22,18.604862,9.337013
5680,26,18.612207,9.343940
5690,21,18.626870,9.352885
5700,26,18.629243,9.351535
5710,22,18.641148,9.354979
5720,18,18.643538,9.356939
5730,33,18.652938,9.351766
5740,32,18.678230,9.364402
5750,26,18.696773,9.377743
5760,25,18.707668,9.387244
5770,14,18.708605,9.392556
5780,11,18.692724,9.384517
5790,7,18.679282,9.378516
5800,3,18.658140,9.366212
5810,3,18.632001,9.351410
5820,6,18.606570,9.335365
5830,11,18.582343,9.319145
5840,3,18.564930,9.313563
5850,10,18.541102,9.298366
5860,13,18.527316,9.296975
5870,12,18.519832,9.297136
5880,26,18.519590,9.293777
5890,23,18.529784,9.300420
5900,18,18.534442,9.305864
5910,15,18.530889,9.309551
5920,18,18.528094,9.311232
5930,12,18.522122,9.310518
5940,2,18.501640,9.308016
5950,14,18.482981,9.297746
5960,11,18.473723,9.291425
5970,3,18.451704,9.284170
5980,2,18.422038,9.275388
5990,0,18.394024,9.266628
6000,1,18.372371,9.255602
6010,3,18.345326,9.240313
6020,2,18.317684,9.224733
6030,6,18.296312,9.210014
