Tempo(s),Fila,E[N],E[W]
10,17,7.252259,2.789330
20,10,10.730835,4.471181
30,2,8.929793,3.939615
40,4,7.041472,3.129543
50,6,6.217000,2.775446
60,7,5.669395,2.557622
70,1,5.546460,2.504853
80,6,5.593818,2.486141
90,6,5.468047,2.412374
100,1,5.176025,2.331543
110,3,4.770769,2.195751
120,2,4.495362,2.107201
130,6,4.318513,2.005024
140,3,4.154718,1.932427
150,2,3.957569,1.843588
160,1,3.841318,1.823771
170,3,3.828286,1.812837
180,4,3.691100,1.757667
190,10,3.764984,1.736279
200,8,4.004437,1.893351
210,0,4.127083,1.934570
220,0,4.020208,1.869864
230,2,3.902205,1.802223
240,0,3.767485,1.769465
250,4,3.666041,1.726008
260,2,3.609061,1.696846
270,7,3.622498,1.689248
280,0,3.569129,1.657307
290,0,3.478544,1.611466
300,9,3.523279,1.623631
310,11,3.633779,1.673806
320,25,4.127902,1.878988
330,19,4.642190,2.133597
340,13,4.972252,2.296964
350,12,5.214200,2.404440
360,1,5.365884,2.479741
370,4,5.297031,2.452943
380,0,5.184052,2.426034
390,3,5.127967,2.389375
400,2,5.068000,2.370994
410,2,5.019480,2.354676
420,1,5.004122,2.358845
430,3,4.932272,2.340924
440,1,4.845404,2.302352
450,3,4.778112,2.272886
460,0,4.699925,2.235745
470,7,4.691113,2.224847
480,1,4.625257,2.200321
490,0,4.570174,2.184766
500,0,4.492744,2.162052
510,0,4.426521,2.137808
520,1,4.364075,2.114929
530,7,4.338362,2.094109
540,7,4.354502,2.101368
550,0,4.344983,2.103645
560,4,4.290363,2.087405
570,1,4.230376,2.071576
580,6,4.233604,2.056525
590,6,4.221975,2.046808
600,1,4.182752,2.033753
610,0,4.122742,2.013509
620,2,4.076399,1.991621
630,9,4.045516,1.971133
640,13,4.136062,2.003845
650,2,4.181869,2.034592
660,3,4.184880,2.033889
670,6,4.204698,2.038457
680,0,4.163238,2.029392
690,2,4.120684,2.012224
700,1,4.072353,2.000454
710,6,4.051607,1.981158
720,0,4.070392,1.992306
730,11,4.107420,1.997612
740,3,4.174751,2.029774
750,1,4.129473,2.015032
760,3,4.105116,1.993539
770,0,4.088423,1.983671
780,0,4.046365,1.971371
790,0,4.016766,1.953969
800,0,3.986883,1.935380
810,0,3.945833,1.920748
820,0,3.934047,1.916767
830,2,3.911794,1.906511
840,1,3.882151,1.897037
850,10,3.882840,1.885951
860,14,3.965116,1.926554
870,9,4.059951,1.976585
880,19,4.155252,2.016890
890,14,4.315641,2.090866
900,14,4.426130,2.145136
910,8,4.471112,2.169979
920,1,4.461678,2.167235
930,1,4.431346,2.147552
940,2,4.392804,2.136180
950,2,4.351650,2.124392
960,6,4.327981,2.115510
970,2,4.317164,2.112840
980,16,4.361211,2.118982
990,16,4.481908,2.172913
1000,25,4.625128,2.231128
1010,12,4.760788,2.309508
1020,8,4.821168,2.333930
1030,4,4.838676,2.345335
1040,1,4.812074,2.333127
1050,3,4.777709,2.314995
1060,10,4.796411,2.320491
1070,1,4.806179,2.332250
1080,2,4.784678,2.321407
1090,0,4.753708,2.308037
1100,4,4.738731,2.303405
1110,0,4.720273,2.298028
1120,2,4.692106,2.289829
1130,8,4.697213,2.288853
1140,5,4.728133,2.307394
1150,2,4.714440,2.297291
1160,11,4.747231,2.311834
1170,7,4.785537,2.327131
1180,0,4.769199,2.325477
1190,4,4.744432,2.311988
1200,1,4.733182,2.305121
1210,1,4.698695,2.293433
1220,1,4.666922,2.282022
1230,3,4.648630,2.271678
1240,1,4.633727,2.264809
1250,2,4.600170,2.250572
1260,0,4.567584,2.242851
1270,2,4.535997,2.232836
1280,1,4.514706,2.225192
1290,1,4.492556,2.212828
1300,3,4.491928,2.211097
1310,5,4.472480,2.203441
1320,0,4.451936,2.196022
1330,4,4.439346,2.189221
1340,5,4.453615,2.197292
1350,10,4.467841,2.204527
1360,8,4.513640,2.228149
1370,13,4.564929,2.248815
1380,17,4.652105,2.290369
1390,2,4.700176,2.316753
1400,2,4.695365,2.312988
1410,2,4.671072,2.306097
1420,8,4.665800,2.301298
1430,2,4.675982,2.308131
1440,0,4.664903,2.302866
1450,2,4.648408,2.292582
1460,8,4.656164,2.293522
1470,2,4.647151,2.288547
1480,1,4.628322,2.279507
1490,4,4.606329,2.269653
1500,3,4.596130,2.262617
1510,5,4.579524,2.248076
1520,6,4.599095,2.252860
1530,2,4.583620,2.247017
1540,2,4.569448,2.242495
1550,8,4.579860,2.242902
1560,17,4.614102,2.254306
1570,7,4.651637,2.275100
1580,1,4.648670,2.273962
1590,3,4.631454,2.267245
1600,0,4.605058,2.260845
1610,2,4.600069,2.259339
1620,0,4.583638,2.254248
1630,0,4.568151,2.248214
1640,12,4.581969,2.246466
1650,0,4.586079,2.254777
1660,1,4.570484,2.248667
1670,7,4.569614,2.248455
1680,12,4.607531,2.265999
1690,2,4.617833,2.273270
1700,2,4.604144,2.268051
1710,0,4.586413,2.260163
1720,1,4.563392,2.251587
1730,2,4.539624,2.245154
1740,2,4.543881,2.244848
1750,2,4.527729,2.234497
1760,1,4.509168,2.227374
1770,0,4.487197,2.218530
1780,7,4.467386,2.209488
1790,9,4.473997,2.212892
1800,8,4.489127,2.218070
1810,10,4.520801,2.230213
1820,0,4.521071,2.233536
1830,0,4.501435,2.222781
1840,1,4.483808,2.212445
1850,2,4.462812,2.205182
1860,0,4.444134,2.201355
1870,0,4.427948,2.195774
1880,2,4.412778,2.187770
1890,3,4.397119,2.180676
1900,2,4.377630,2.174509
1910,2,4.360861,2.170204
1920,2,4.355454,2.162522
1930,17,4.367323,2.165151
1940,15,4.410330,2.185451
1950,18,4.463703,2.210876
1960,14,4.510364,2.233531
1970,8,4.542487,2.250113
1980,7,4.580457,2.267326
1990,0,4.564021,2.263809
2000,0,4.543653,2.254355
2010,4,4.538055,2.251664
2020,0,4.523711,2.245183
2030,7,4.519371,2.240919
2040,0,4.507061,2.238715
2050,1,4.490864,2.232364
2060,7,4.492770,2.231221
2070,7,4.500451,2.231896
2080,5,4.498469,2.229405
2090,7,4.501539,2.229963
2100,2,4.508075,2.234881
2110,3,4.495476,2.230822
2120,4,4.485445,2.223321
2130,7,4.486334,2.222300
2140,2,4.478103,2.219347
2150,6,4.484556,2.219055
2160,0,4.469775,2.216417
2170,1,4.452614,2.209001
2180,9,4.448190,2.204377
2190,16,4.492152,2.225246
2200,13,4.537098,2.249632
2210,10,4.563551,2.263341
2220,18,4.606596,2.282224
2230,15,4.669601,2.313019
2240,14,4.708794,2.333562
2250,13,4.744229,2.351215
2260,21,4.798905,2.375279
2270,15,4.842717,2.398117
2280,14,4.875011,2.416310
2290,11,4.898587,2.427037
2300,1,4.894486,2.426669
2310,1,4.890408,2.423175
2320,0,4.878424,2.415783
2330,1,4.863882,2.411757
2340,0,4.847954,2.403944
2350,3,4.835217,2.395185
2360,5,4.824553,2.387992
2370,2,4.846898,2.397151
2380,1,4.829552,2.389178
2390,4,4.818223,2.384173
2400,5,4.814586,2.381494
2410,1,4.804900,2.380717
2420,1,4.790667,2.374240
2430,4,4.776084,2.364687
2440,4,4.764717,2.358675
2450,1,4.755118,2.353068
2460,10,4.765746,2.356056
2470,14,4.798089,2.367888
2480,21,4.849512,2.389112
2490,13,4.893946,2.410191
2500,3,4.903816,2.414721
2510,1,4.889525,2.410667
2520,8,4.880242,2.405282
2530,7,4.871710,2.397943
2540,0,4.868512,2.397445
2550,3,4.853664,2.391198
2560,3,4.838745,2.383068
2570,0,4.823563,2.378921
2580,7,4.814265,2.374915
2590,3,4.819619,2.379492
2600,0,4.805176,2.371125
2610,3,4.792338,2.364015
2620,2,4.792517,2.363779
2630,2,4.781396,2.358858
2640,16,4.779367,2.354017
2650,22,4.836240,2.382163
2660,0,4.865574,2.400747
2670,7,4.863285,2.397078
2680,2,4.862674,2.398227
2690,6,4.856276,2.395632
2700,2,4.847504,2.390113
2710,0,4.842528,2.388217
2720,0,4.829475,2.383195
2730,0,4.818763,2.377164
2740,6,4.806780,2.371368
2750,4,4.803267,2.370600
2760,0,4.799837,2.369442
2770,3,4.788079,2.364168
2780,3,4.777101,2.358015
2790,4,4.764637,2.351971
2800,2,4.753224,2.348099
2810,3,4.753104,2.346078
2820,1,4.743845,2.342024
2830,3,4.737157,2.338419
2840,3,4.724090,2.334508
2850,0,4.721564,2.333759
2860,5,4.731340,2.335859
2870,12,4.736968,2.335928
2880,10,4.759424,2.345908
2890,11,4.771417,2.351534
2900,3,4.784953,2.355120
2910,4,4.776700,2.350389
2920,4,4.765067,2.347165
2930,3,4.755186,2.343993
2940,11,4.767531,2.349403
2950,6,4.785117,2.359762
2960,5,4.776317,2.355139
2970,2,4.769281,2.349828
2980,0,4.759581,2.346328
2990,0,4.745246,2.340915
3000,5,4.736464,2.335534
3010,2,4.730728,2.335109
3020,5,4.722023,2.329007
3030,16,4.748254,2.340145
3040,5,4.764969,2.350398
3050,0,4.754669,2.345042
3060,0,4.741550,2.339430
3070,0,4.728806,2.335870
3080,4,4.723212,2.332824
3090,0,4.710040,2.327154
3100,4,4.698673,2.322367
3110,7,4.698444,2.321602
3120,1,4.694163,2.320676
3130,1,4.681914,2.315435
3140,0,4.670147,2.310424
3150,2,4.661440,2.305832
3160,0,4.652761,2.300896
3170,4,4.644694,2.297344
3180,4,4.643195,2.294539
3190,2,4.635132,2.289574
3200,0,4.626009,2.285507
3210,1,4.615889,2.281645
3220,5,4.607371,2.276467
3230,14,4.624179,2.281714
3240,13,4.655681,2.295254
3250,5,4.662291,2.298960
3260,4,4.653883,2.296648
3270,11,4.655928,2.295670
3280,3,4.665518,2.301188
3290,8,4.672855,2.303175
3300,12,4.688430,2.310951
3310,9,4.702634,2.316327
3320,12,4.712735,2.320718
3330,7,4.717939,2.324074
3340,5,4.717906,2.325875
3350,4,4.721044,2.326835
3360,2,4.716735,2.325833
3370,11,4.724869,2.327556
3380,10,4.741709,2.336294
3390,9,4.752824,2.341531
3400,3,4.760114,2.344544
3410,1,4.754046,2.343350
3420,2,4.743375,2.338187
3430,0,4.738188,2.335056
3440,1,4.727553,2.330913
3450,4,4.727446,2.328957
3460,0,4.720575,2.327660
3470,5,4.717467,2.325889
3480,1,4.715700,2.324782
3490,3,4.707503,2.320834
3500,1,4.699541,2.318634
3510,10,4.695189,2.314948
3520,9,4.714488,2.324555
3530,3,4.705074,2.320653
3540,2,4.696427,2.317768
3550,4,4.694129,2.317041
3560,0,4.693241,2.316043
3570,5,4.688493,2.312187
3580,1,4.681022,2.307637
3590,5,4.671344,2.302956
3600,0,4.660700,2.298113
3610,2,4.653326,2.293938
3620,2,4.644666,2.289758
3630,0,4.632999,2.286889
3640,0,4.621280,2.284593
3650,0,4.615006,2.280635
3660,7,4.617130,2.279910
3670,7,4.621329,2.281754
3680,3,4.614069,2.277635
3690,3,4.607875,2.274657
3700,1,4.598858,2.270890
3710,0,4.593991,2.268864
3720,1,4.585804,2.264594
3730,4,4.578856,2.259443
3740,2,4.572297,2.255691
3750,3,4.564176,2.252950
3760,4,4.558530,2.249944
3770,6,4.559632,2.249975
3780,4,4.557607,2.248760
3790,0,4.551020,2.245589
3800,1,4.540445,2.242487
3810,2,4.531554,2.239038
3820,8,4.529003,2.236689
3830,1,4.526962,2.236907
3840,2,4.518059,2.233438
3850,2,4.510019,2.229243
3860,6,4.506067,2.226215
3870,7,4.506880,2.226685
3880,3,4.502247,2.224748
3890,3,4.497468,2.223018
3900,0,4.490313,2.218984
3910,2,4.480785,2.214062
3920,1,4.471938,2.210035
3930,3,4.467743,2.208860
3940,1,4.462624,2.206946
3950,3,4.460122,2.205769
3960,0,4.455486,2.204639
3970,2,4.458593,2.204311
3980,0,4.449820,2.201129
3990,1,4.444967,2.197698
4000,4,4.436132,2.193119
4010,11,4.438440,2.193510
4020,11,4.457059,2.203047
4030,9,4.482112,2.214406
4040,5,4.486789,2.216240
4050,0,4.481504,2.215317
4060,5,4.474435,2.211077
4070,4,4.476907,2.212362
4080,2,4.480854,2.214107
4090,1,4.472965,2.210006
4100,1,4.464205,2.207870
4110,8,4.462042,2.204471
4120,3,4.466674,2.206294
4130,4,4.462889,2.204225
4140,7,4.470800,2.208461
4150,0,4.471644,2.208679
4160,1,4.464019,2.204977
4170,0,4.455101,2.201679
4180,1,4.447500,2.197205
4190,3,4.440594,2.194373
4200,0,4.432276,2.191097
4210,2,4.425092,2.188632
4220,1,4.417216,2.185561
4230,1,4.410634,2.182869
4240,2,4.403977,2.178355
4250,0,4.397462,2.175947
4260,5,4.390726,2.173930
4270,3,4.386375,2.171322
4280,2,4.383627,2.171267
4290,0,4.385679,2.172081
4300,5,4.377120,2.167390
4310,17,4.388579,2.168380
4320,12,4.417322,2.182392
4330,0,4.421558,2.186290
4340,0,4.412816,2.183267
4350,1,4.411873,2.181861
4360,0,4.403048,2.179529
4370,1,4.397807,2.176491
4380,5,4.394641,2.174729
4390,13,4.401873,2.176396
4400,8,4.411708,2.180334
4410,12,4.432329,2.188621
4420,0,4.430032,2.188771
4430,1,4.422352,2.187230
4440,1,4.418398,2.183625
4450,2,4.413493,2.182470
4460,2,4.410611,2.181582
4470,4,4.412128,2.181661
4480,4,4.408629,2.178782
4490,4,4.402104,2.176571
4500,0,4.399416,2.176253
4510,5,4.399227,2.176450
4520,1,4.393280,2.174272
4530,6,4.393397,2.173904
4540,3,4.403399,2.176056
4550,1,4.394836,2.174479
4560,13,4.398954,2.174442
4570,11,4.408470,2.178729
4580,28,4.438725,2.191609
4590,26,4.490222,2.217573
4600,27,4.535594,2.239319
4610,14,4.577152,2.261594
4620,7,4.591730,2.270069
4630,7,4.598918,2.273920
4640,1,4.593530,2.273006
4650,7,4.597215,2.274880
4660,9,4.598729,2.274472
4670,9,4.604924,2.276866
4680,10,4.615396,2.281134
4690,4,4.630801,2.288803
4700,6,4.629544,2.287516
4710,5,4.626138,2.285651
4720,1,4.630883,2.286856
4730,11,4.633132,2.284210
4740,2,4.641378,2.288819
4750,6,4.640635,2.287569
4760,3,4.640249,2.286500
4770,4,4.639061,2.287165
4780,2,4.632381,2.283467
4790,0,4.629075,2.282610
4800,4,4.622678,2.279989
4810,1,4.614795,2.276866
4820,1,4.607513,2.274267
4830,1,4.599207,2.271388
4840,4,4.595859,2.269097
4850,10,4.597751,2.269166
4860,8,4.606746,2.273204
4870,8,4.618653,2.278448
4880,13,4.632015,2.285334
4890,9,4.646181,2.292385
4900,5,4.653223,2.295459
4910,2,4.648051,2.292049
4920,8,4.645605,2.289301
4930,3,4.642848,2.288238
4940,12,4.652353,2.291160
4950,4,4.664253,2.298005
4960,0,4.656975,2.295170
4970,4,4.655237,2.294152
4980,3,4.649328,2.291080
4990,1,4.641684,2.289188
5000,2,4.635160,2.286935
5010,0,4.627959,2.284342
5020,0,4.619760,2.282373
5030,1,4.615188,2.279497
5040,3,4.609404,2.277364
5050,3,4.610077,2.277082
5060,2,4.603510,2.272784
5070,1,4.599581,2.270237
5080,1,4.593304,2.267196
5090,2,4.592023,2.266401
5100,2,4.584955,2.263408
5110,2,4.578182,2.260339
5120,3,4.572476,2.258231
5130,9,4.576540,2.259639
5140,1,4.571918,2.258063
5150,4,4.566154,2.255053
5160,10,4.571101,2.255822
5170,0,4.570797,2.257022
5180,1,4.564495,2.253964
5190,0,4.556944,2.251360
5200,5,4.551269,2.249035
5210,0,4.554288,2.251645
5220,2,4.547288,2.249512
5230,6,4.547844,2.248556
5240,0,4.548723,2.248614
5250,6,4.544176,2.245992
5260,1,4.539479,2.245407
5270,16,4.544687,2.246974
5280,12,4.570265,2.259457
5290,13,4.580921,2.264350
5300,12,4.589588,2.267414
5310,6,4.599209,2.273064
5320,2,4.601044,2.274231
5330,9,4.611898,2.279011
5340,12,4.620557,2.283129
5350,1,4.622906,2.285184
5360,0,4.616048,2.281842
5370,7,4.610933,2.278523
5380,0,4.605824,2.276884
5390,0,4.598757,2.273230
5400,4,4.594574,2.269963
5410,2,4.589255,2.266557
5420,0,4.581413,2.264386
5430,0,4.573718,2.262278
5440,2,4.568433,2.259298
5450,4,4.562431,2.255556
5460,1,4.557662,2.253857
5470,0,4.555044,2.252200
5480,0,4.548702,2.249313
5490,3,4.543616,2.245630
5500,3,4.543819,2.244970
5510,12,4.546013,2.244894
5520,24,4.568378,2.253973
5530,36,4.609625,2.272148
5540,25,4.653402,2.295419
5550,30,4.693998,2.314060
5560,26,4.737782,2.336325
5570,23,4.771440,2.351524
5580,26,4.810516,2.369169
5590,18,4.841945,2.385342
5600,5,4.854428,2.392607
5610,3,4.850342,2.390653
5620,3,4.845228,2.389032
5630,7,4.840730,2.385410
5640,2,4.838546,2.385437
5650,2,4.832357,2.383485
5660,2,4.828912,2.382050
5670,1,4.823177,2.379484
5680,0,4.819136,2.377960
5690,3,4.812753,2.375277
5700,2,4.805784,2.372918
5710,1,4.801236,2.370519
5720,10,4.797802,2.367445
5730,0,4.800065,2.369637
5740,0,4.793169,2.367099
5750,1,4.786449,2.364237
5760,5,4.781199,2.360277
5770,1,4.775274,2.358412
5780,4,4.769722,2.355318
5790,6,4.767664,2.353549
5800,3,4.775129,2.357486
5810,4,4.770766,2.355183
5820,5,4.772360,2.356022
5830,0,4.766977,2.354412
5840,2,4.761039,2.352523
5850,9,4.758738,2.350440
5860,7,4.757581,2.349918
5870,9,4.766093,2.354369
5880,4,4.770707,2.356696
5890,6,4.770668,2.355935
5900,20,4.786526,2.361048
5910,22,4.812615,2.374170
5920,28,4.846340,2.389865
5930,24,4.884381,2.409481
5940,18,4.910266,2.422104
5950,20,4.933478,2.433004
5960,20,4.958367,2.445132
5970,15,4.983868,2.457967
5980,6,4.989257,2.461493
5990,4,4.984505,2.459608
6000,1,4.979660,2.457878
6010,2,4.973761,2.453608
6020,1,4.967112,2.451588
6030,0,4.960943,2.449196
6040,6,4.955295,2.446659
6050,5,4.954953,2.447739
6060,1,4.948485,2.445191
6070,1,4.941612,2.442239
6080,2,4.934741,2.438692
6090,1,4.931155,2.437758
6100,3,4.925116,2.434817
6110,8,4.929415,2.436790
6120,8,4.936751,2.440068
6130,2,4.932447,2.439363
6140,2,4.927479,2.435772
6150,0,4.921001,2.433592
6160,3,4.914924,2.431021
6170,0,4.910398,2.428435
6180,1,4.904331,2.425477
6190,1,4.897142,2.422933
6200,3,4.893327,2.419734
6210,0,4.887488,2.417660
6220,1,4.883028,2.416456
6230,2,4.878066,2.413465
6240,0,4.871303,2.411307
6250,0,4.864651,2.409006
6260,0,4.858007,2.407086
6270,3,4.851991,2.404140
6280,1,4.847337,2.402437
6290,1,4.842036,2.401167
6300,0,4.836012,2.400668
6310,0,4.830416,2.397729
6320,4,4.830626,2.398425
6330,9,4.836950,2.400650
6340,5,4.836679,2.400732
6350,9,4.844039,2.404600
6360,1,4.843726,2.405411
6370,0,4.837993,2.403339
6380,1,4.832855,2.400811
6390,1,4.826481,2.398974
6400,2,4.820824,2.395440
6410,0,4.813997,2.393370
6420,1,4.807311,2.390808
6430,1,4.801815,2.388464
6440,2,4.796568,2.386242
6450,4,4.792236,2.384657
6460,3,4.786064,2.383439
6470,11,4.790138,2.383832
6480,4,4.791444,2.385231
6490,5,4.789375,2.384766
6500,12,4.790239,2.384299
6510,13,4.803023,2.389765
6520,12,4.818495,2.397115
6530,6,4.824325,2.399851
6540,2,4.820793,2.397930
6550,4,4.820951,2.397117
6560,0,4.816472,2.395092
6570,0,4.813583,2.393494
6580,5,4.808447,2.390599
6590,0,4.803904,2.389262
6600,4,4.802184,2.386807
6610,1,4.796873,2.384727
6620,0,4.791725,2.382725
6630,2,4.788861,2.380428
6640,4,4.783102,2.377053
6650,1,4.781150,2.376459
6660,7,4.778972,2.374157
6670,9,4.789197,2.378020
6680,7,4.797500,2.382345
6690,10,4.801264,2.383707
6700,5,4.806005,2.386971
6710,0,4.801898,2.385484
6720,3,4.796586,2.383045
6730,5,4.798362,2.383422
6740,0,4.797252,2.382893
6750,6,4.791699,2.380509
6760,2,4.790995,2.379307
6770,1,4.785571,2.377160
6780,2,4.781216,2.375020
6790,1,4.781308,2.375958
6800,4,4.776291,2.373486
6810,16,4.781533,2.374726
6820,22,4.804406,2.385762
6830,19,4.826897,2.398523
6840,9,4.840474,2.405816
6850,9,4.843812,2.407147
6860,0,4.843128,2.407526
6870,1,4.837906,2.405473
6880,2,4.835381,2.404584
6890,0,4.830674,2.402263
6900,0,4.824585,2.400464
6910,0,4.821049,2.398031
6920,3,4.815579,2.396189
6930,4,4.814587,2.394337
6940,2,4.810992,2.393083
6950,1,4.809736,2.392475
6960,1,4.808171,2.390860
6970,0,4.803737,2.388845
6980,0,4.798724,2.386370
6990,0,4.796470,2.384420
7000,0,4.790872,2.382164
7010,3,4.794515,2.382980
7020,2,4.791888,2.381695
7030,0,4.786218,2.380074
7040,6,4.784263,2.377945
7050,1,4.781978,2.376997
7060,1,4.777098,2.373922
7070,2,4.773450,2.372797
7080,2,4.768132,2.371005
7090,1,4.763540,2.369405
7100,3,4.759322,2.368652
7110,6,4.755508,2.367266
7120,7,4.752491,2.365944
7130,0,4.753608,2.366515
7140,5,4.750062,2.365094
7150,0,4.749198,2.365501
7160,0,4.744482,2.364316
7170,6,4.741514,2.361863
7180,3,4.742497,2.362529
7190,6,4.743274,2.362274
7200,6,4.741418,2.361035
7210,0,4.738949,2.360308
7220,0,4.734288,2.358488
7230,0,4.729614,2.356009
7240,0,4.724534,2.354138
7250,0,4.718709,2.351247
7260,1,4.713182,2.348987
7270,0,4.707772,2.347267
7280,4,4.705340,2.345582
7290,0,4.701497,2.342715
7300,0,4.696701,2.340655
7310,3,4.693160,2.338741
7320,2,4.690795,2.336460
7330,6,4.687915,2.335038
7340,10,4.695623,2.338254
7350,15,4.701452,2.340378
7360,19,4.721890,2.349612
7370,16,4.737076,2.357343
7380,22,4.762631,2.368478
7390,8,4.776124,2.376165
7400,2,4.773879,2.375064
7410,1,4.770551,2.373902
7420,0,4.767726,2.372194
7430,2,4.766954,2.370714
7440,11,4.766869,2.369738
7450,0,4.763711,2.369610
7460,0,4.759499,2.367689
7470,1,4.754357,2.364990
7480,2,4.749166,2.361795
7490,0,4.744895,2.359845
7500,2,4.741493,2.357544
7510,3,4.736996,2.355793
7520,1,4.732341,2.353184
7530,5,4.728876,2.351013
7540,10,4.731463,2.350611
7550,9,4.735146,2.352151
7560,4,4.736215,2.352703
7570,0,4.734204,2.351416
7580,1,4.728782,2.349359
7590,2,4.724360,2.346414
7600,2,4.719474,2.344160
7610,3,4.714758,2.341992
7620,7,4.715664,2.342003
7630,4,4.713959,2.341635
7640,1,4.711295,2.340788
7650,0,4.705835,2.339158
7660,2,4.701927,2.337688
7670,5,4.698507,2.336156
7680,8,4.703909,2.337800
7690,6,4.709210,2.340604
7700,9,4.710479,2.340950
7710,5,4.715765,2.343747
7720,3,4.711703,2.341294
7730,2,4.706739,2.340050
7740,4,4.704798,2.338501
7750,6,4.702585,2.336669
7760,2,4.701489,2.336443
7770,0,4.698331,2.334742
7780,0,4.695004,2.334002
7790,3,4.693185,2.333860
7800,0,4.689266,2.332819
7810,2,4.685026,2.331319
7820,7,4.681751,2.329555
7830,2,4.678324,2.328604
7840,3,4.679306,2.328516
7850,2,4.677271,2.327517
7860,12,4.675732,2.325734
7870,12,4.683437,2.329435
7880,12,4.688963,2.331610
7890,0,4.690037,2.333190
7900,3,4.685159,2.331219
7910,1,4.680523,2.329219
7920,0,4.678805,2.329256
7930,1,4.674583,2.327167
7940,1,4.669783,2.325228
7950,3,4.667583,2.323126
7960,1,4.663518,2.321551
7970,0,4.660609,2.319826
7980,1,4.656856,2.317393
7990,5,4.654546,2.315824
8000,6,4.651866,2.315081
8010,3,4.650787,2.314558
8020,2,4.648549,2.312883
8030,1,4.644169,2.310718
8040,4,4.642171,2.309024
8050,9,4.643535,2.308433
8060,3,4.642502,2.307794
8070,7,4.640126,2.306203
8080,0,4.642157,2.307371
8090,2,4.637277,2.305246
8100,3,4.635593,2.304425
8110,5,4.634713,2.304004
8120,6,4.633869,2.303460
8130,1,4.629575,2.302891
8140,2,4.625600,2.300647
8150,4,4.623939,2.299414
8160,4,4.625082,2.299998
8170,2,4.623792,2.299232
8180,5,4.619557,2.297002
8190,0,4.614807,2.295352
8200,2,4.609862,2.293742
8210,0,4.605187,2.292124
8220,4,4.600629,2.289868
8230,2,4.597082,2.288115
8240,0,4.591777,2.287007
8250,16,4.598582,2.288473
8260,9,4.608173,2.293535
8270,7,4.610018,2.294328
8280,1,4.608104,2.293664
8290,2,4.605821,2.292402
8300,0,4.602035,2.289981
8310,6,4.598574,2.288409
8320,0,4.595448,2.287688
8330,1,4.590168,2.286575
8340,2,4.586825,2.284374
8350,0,4.585540,2.283472
8360,2,4.580862,2.281697
8370,0,4.576647,2.279880
8380,0,4.572927,2.278714
8390,3,4.568618,2.276441
8400,6,4.569965,2.277121
